year,month,temperature_mean,precipitation,sunshine_duration
1951,1,1.47,77.2,30.9
1951,2,1.85,45.7,57.3
1951,3,2.23,66.7,110.1
1951,4,7.28,40.4,199.1
1951,5,11.52,69.8,203.3
1951,6,15.29,102.8,210.2
1951,7,17.11,71.0,238.8
1951,8,17.17,69.6,204.1
1951,9,14.49,63.3,175.1
1951,10,7.31,10.7,192.5
1951,11,6.47,91.8,38.5
1951,12,2.5,41.9,51.8
1952,1,0.2,74.6,33.0
1952,2,-0.08,47.6,52.0
1952,3,2.58,76.7,124.3
1952,4,10.3,33.5,195.7
1952,5,12.29,53.0,212.0
1952,6,15.22,73.4,224.7
1952,7,18.27,41.8,261.4
1952,8,17.78,69.8,207.5
1952,9,10.48,100.2,117.4
1952,10,7.17,86.8,79.6
1952,11,1.65,103.6,37.9
1952,12,-0.53,70.0,31.2
1953,1,-0.79,34.4,23.2
1953,2,-0.1,51.2,59.4
1953,3,4.8,13.2,195.2
1953,4,9.04,42.3,222.8
1953,5,13.19,63.2,231.5
1953,6,16.09,120.9,189.3
1953,7,17.41,92.9,219.9
1953,8,16.37,59.4,239.3
1953,9,13.48,40.8,186.1
1953,10,10.38,26.5,109.5
1953,11,4.84,16.5,66.0
1953,12,2.52,30.6,41.7
1954,1,-3.24,66.2,74.5
1954,2,-3.53,23.5,85.5
1954,3,4.32,29.7,119.4
1954,4,5.84,55.7,177.1
1954,5,12.17,51.6,239.5
1954,6,15.98,59.3,215.1
1954,7,14.4,168.5,140.9
1954,8,15.75,118.5,169.3
1954,9,13.48,89.4,144.7
1954,10,9.89,79.2,98.1
1954,11,4.05,41.9,67.2
1954,12,3.24,93.7,29.1
1955,1,-1.7,62.2,57.9
1955,2,-1.92,58.9,72.7
1955,3,0.44,36.3,144.3
1955,4,6.93,43.9,173.9
1955,5,10.25,75.6,218.9
1955,6,14.55,94.2,195.0
1955,7,17.35,118.3,200.6
1955,8,16.8,66.1,196.1
1955,9,13.37,64.5,158.9
1955,10,7.98,52.6,110.0
1955,11,3.83,21.0,65.0
1955,12,2.59,90.0,40.4
1956,1,0.23,68.3,58.3
1956,2,-9.62,25.0,87.5
1956,3,2.93,54.5,147.1
1956,4,5.3,62.4,125.3
1956,5,12.49,47.3,232.3
1956,6,13.21,115.8,125.5
1956,7,16.86,123.5,210.4
1956,8,14.12,107.0,176.9
1956,9,13.76,51.4,176.1
1956,10,8.23,86.0,97.1
1956,11,2.51,54.9,54.1
1956,12,2.01,47.9,37.9
1957,1,0.28,43.1,58.3
1957,2,3.8,88.6,57.4
1957,3,6.36,63.1,142.7
1957,4,7.46,25.5,202.1
1957,5,9.7,49.4,228.5
1957,6,16.72,76.5,268.9
1957,7,17.69,115.2,192.7
1957,8,15.05,85.9,175.3
1957,9,11.76,123.4,116.1
1957,10,9.15,28.9,110.8
1957,11,4.51,32.9,45.1
1957,12,0.52,51.2,40.9
1958,1,-0.39,73.8,58.0
1958,2,1.86,107.5,69.2
1958,3,-0.32,33.9,115.1
1958,4,5.21,52.0,146.1
1958,5,13.34,89.9,191.0
1958,6,14.51,91.6,187.4
1958,7,16.95,96.6,219.8
1958,8,16.91,98.1,206.5
1958,9,14.48,57.4,181.0
1958,10,9.3,76.8,91.5
1958,11,4.25,29.5,22.1
1958,12,2.45,68.9,38.5
1959,1,-0.07,66.5,62.5
1959,2,-0.06,8.9,104.5
1959,3,6.22,31.1,137.0
1959,4,9.4,50.9,186.1
1959,5,12.66,50.8,250.0
1959,6,16.12,57.6,260.5
1959,7,19.28,64.0,262.7
1959,8,17.34,75.4,208.2
1959,9,13.49,6.1,263.9
1959,10,8.45,47.3,170.9
1959,11,3.3,37.7,51.3
1959,12,2.17,54.8,26.4
1960,1,-0.09,65.3,41.5
1960,2,0.4,38.9,70.7
1960,3,4.3,32.9,114.3
1960,4,7.41,41.9,172.2
1960,5,12.79,67.0,213.4
1960,6,16.23,60.4,233.9
1960,7,15.41,86.2,182.1
1960,8,15.77,134.2,152.0
1960,9,12.46,47.8,152.4
1960,10,9.06,116.3,68.8
1960,11,6.0,79.4,54.7
1960,12,1.15,78.7,26.4
1961,1,-0.77,61.8,58.9
1961,2,4.41,60.7,74.5
1961,3,6.04,49.3,136.1
1961,4,10.57,74.5,140.0
1961,5,10.29,104.4,144.5
1961,6,16.0,93.6,233.3
1961,7,15.14,92.7,165.3
1961,8,15.74,84.6,185.5
1961,9,16.3,39.4,182.3
1961,10,10.5,54.5,129.5
1961,11,3.73,55.0,52.3
1961,12,-0.62,91.6,60.0
1962,1,1.67,70.5,47.0
1962,2,0.32,68.2,65.0
1962,3,0.21,53.4,119.2
1962,4,8.19,55.7,156.4
1962,5,9.75,79.9,147.0
1962,6,14.2,39.8,243.5
1962,7,15.01,83.2,178.3
1962,8,15.8,69.8,198.9
1962,9,12.34,61.3,167.7
1962,10,8.95,14.3,127.6
1962,11,2.66,29.5,47.8
1962,12,-3.34,75.8,59.7
1963,1,-7.39,25.5,67.5
1963,2,-5.74,19.5,78.0
1963,3,2.45,49.8,113.3
1963,4,8.41,44.1,144.2
1963,5,11.96,51.7,189.2
1963,6,15.83,87.9,213.7
1963,7,17.7,54.2,256.2
1963,8,15.94,117.5,165.3
1963,9,13.7,56.0,146.4
1963,10,8.13,41.4,117.8
1963,11,7.38,99.9,53.7
